Allergen,Effect
Peanuts,"Anaphylaxis, hives, itching, swelling, abdominal pain"
Tree Nuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Milk,"Anaphylaxis, hives, itching, swelling, respiratory problems"
Eggs,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Soy,"Anaphylaxis, hives, itching, swelling, respiratory problems"
Wheat,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Fish,"Anaphylaxis, hives, itching, swelling, respiratory problems"
Shellfish,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Sesame,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Mustard,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Sulphites,"Hives, itching, swelling, asthma, headaches"
Lupin,"Anaphylaxis, hives, itching, swelling, abdominal pain"
Celery,"Anaphylaxis, hives, itching, swelling, digestive upset"
Corn,"Anaphylaxis, hives, itching, swelling, diarrhea"
Beef,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pork,"Anaphylaxis, hives, itching, swelling, nausea"
Barley,"Anaphylaxis, hives, itching, swelling, respiratory problems"
Rye,"Anaphylaxis, hives, itching, swelling, abdominal cramps"
Oats,"Anaphylaxis, hives, itching, swelling, digestive upset"
Tomato,"Hives, itching, swelling, digestive upset"
Strawberry,"Hives, itching, swelling, oral irritation"
Garlic,"Gastrointestinal issues, heartburn, nausea"
Onion,"Gastrointestinal issues, heartburn, nausea"
Chicken,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Turkey,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Honey,"Allergic reactions, hives, itching, swelling, headaches"
Cinnamon,"Oral irritation, itching, swelling, digestive upset"
Cloves,"Oral irritation, itching, swelling, gastrointestinal issues"
Paprika,"Oral irritation, itching, swelling, respiratory issues"
Ginger,"Oral irritation, itching, swelling, gastrointestinal upset"
Chili,"Oral irritation, itching, swelling, digestive upset"
Vanilla,"Allergic reactions, itching, swelling, headaches"
Almonds,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Cashews,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Walnuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pistachios,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Hazelnuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Brazil Nuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Macadamia Nuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pecans,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pine Nuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Chestnuts,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Coconut,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Yogurt,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Cheese,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Butter,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Cream,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Margarine,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Tapioca,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Quinoa,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Millet,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Amaranth,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Sorghum,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Teff,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Spelt,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Rye Flour,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Wheat Flour,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pasta,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Noodles,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Bread,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Bagels,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pizza Dough,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Soy Sauce,"Anaphylaxis, hives, itching, swelling, respiratory issues"
Miso,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Tempeh,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Edamame,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Tofu,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Seaweed,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Clams,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Oysters,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Squid,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Octopus,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Cuttlefish,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Anchovies,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Sardines,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Herring,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Mackerel,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Trout,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Salmon,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Lobster,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Crab,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Shrimp,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Scallops,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Sausages,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Ham,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Bacon,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Salami,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Pepperoni,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Deli Meats,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
Sour Cream,"Anaphylaxis, hives, itching, swelling, gastrointestinal issues"
